SSN	First Name	Last Name	House Number	Street Address	City	State	Zip	DOB-Day	DOB-Month	DOB-Year	Phone	Occupation	Salary	TruthFileRowNum
388-24-4861	Davis	QJestine	1062	Hill St	Murrieta	CA	92562	27	2	1982	(414) 320-0623	First-Line Supervisor/Manager of Production and Operating Worker	$45,483.00 	172
160-40-2580	AConnie	Patterson	1398	Walnut Street	Hellertown	PA	18055	6	7	1948	(484) 859-8472	Dentist	$135,678.00 	173
558-02-1786	Carrie	Crogan	457	Seventh Street	Rossmoor	CA	90720	9	10	1980	(310) 632-9458	General and Operations Manager	$80,047.00 	174
412-91-7545	Gregory	Comer	956	First Ave., Apt. 6	Dickel	TN	37388	4	4	1986	(931) 592-9010	Licensed Practical and Licensed Vocational Nurse	$31,083.00 	175
647-05-5084	Smith	David	507	Park Street	Salt Lake City	UT	84103	25	9	1909	(801) 266-8569	Correctional Officers and Jailer	$34,543.00 	176
657-09-4015	FVonda	Vaughan	2360	Valley St	Dalzell	SC	29040	18	3	1946	(803) 703-9159	SFood Preparation and Serving Related OccupationVB	$17,692.00 	177
364-04-4171	Rhett	Thomas	1313	JBWashington Drive	Quincy	MI	49082	25	7	1961	(517) 639-5712	WPacker and Packager, HandZW	$18,538.00 	178
246-48-3568	Micki	Wolf	2149	Sunset Blvd.	Fuquay Varina	NC	27526	16	10	1991	(919) 577-3673	Door-To-Door Sales Worker, News and Street Vendor, and Related Worker	$30,456.00 	179
267-26-5267	Guy	Sam	2760	Oak St.	Mims	FL	32754	7	10	1950	(352) 735-4974	Food Preparation and Serving Related Occupation	$17,424.00 	180
030-58-0319	Edna	Buske	1022	Franklin Blvd.	Belmont	MA	2178	14	3	1915	(617) 486-6580	Truck Driver, Heavy and Tractor-Trailer	$35,939.00 	181
253-22-3657	Gregory	Kaplan	1853	Thirteenth Ave	Commerce	GA	30529	10	7	1995	(706) 336-3157	Food Preparation and Serving Related Occupation	$17,884.00 	182
651-10-8663	Daphine	Norman	2928	Ash Ave	Hamilton	IL	62341	21	8	1940	(303) 739-3210	Retail Salesperson	$22,065.00 	183
535-26-9574	Andrew	Valero	260	Church Ave.	Federal Way	WA	98003	26	3	1964	(206) 258-1065	Electrical and Electronics Repairer, Commercial and Industrial Equipment	$42,632.00 	184
420-56-8655	Patricia	Spencer	2821	Lake Ave	Mobile	AL	36609	5	5	1980	(251) 770-8685	General and Operations Manager	$87,610.00 	185
765-36-4446	Kaitlin	Smith	229	Park St	Yuma	AZ	85364	10	12	1913	(520) 238-3216	Waiter	$15,632.00 	186
223-59-0391	John	Goleman	1758	Ash Blvd.	Falmouth	VA	22405	9	5	1918	(540) 310-1614	Secretary, Except Legal, Medical, and Executive	$25,848.00 	187
592-13-3833	DNona	Ford	2176	Seventh St, Apt. 34	Cutler	CA	93615	6	6	1947	(863) 546-3023	VFuneral DirectorCJ	$52,519.00 	188
520-64-0792	Jeff	Erler	591	Eleventh Ave.	Casper	WY	82601	27	1	1939	(307) 357-4826	Purchasing Agent, Except Wholesale, Retail, and Farm Product	$46,351.00 	189
246-12-3583	Weidner	Sally	1105	Second Ave	Weddington	NC	28173	6	21	1941	(704) 554-1904	Truck Driver, Light Or Delivery Service	$26,912.00 	190
310-03-7553	Avery	Alexander	2115	View Drive	Cedar Rapids	IA	52402	13	5	1958	(574) 586-5010	File Clerk	$21,275.00 	191
143-76-3260	MEula	KAnderson	1837	West Avenue	Maple Shade	NJ	8052	9	11	1967	(856) 446-4665	Customer Service Representative	$29,094.00 	192
141-56-7128	James	Cato	1706	SUChestnut Ave	Paterson	NJ	7501	12	5	1984	(201) 824-4546	Waiter	$15,196.00 	193
629-07-7791	AAlton	SGray	1409	PZWalnut Avenue	Houston	TX	77096	21	11	1910	(281) 897-4467	Cashier	$16,759.00 	194
373-74-0143	Latonya	Ward	1121	Forest Drive	South Haven	MI	49090	10	3	2000	(269) 214-1973	Receptionist and Information Clerk	$22,290.00 	195
535-12-9578	Jeanette	Taylor	2449	Church Ave	Silverdale	WA	98383	8	6	1998	(360) 516-4712	Boilermaker	$41,117.00 	196
595-16-5098	Marvin	Goo	2662	Elm Street	Scotland	AR	72141	7	10	1937	(305) 972-5283	OMarket Research AnalystDF	$57,482.00 	197
232-10-5640	Gary	Sosby	1071	Laurel St, Apt. 39	Robbins	NC	27325	30	1	1980	(910) 948-9191	Food Preparation and Serving Related Occupation	$16,662.00 	198
225-52-5526	Michael	Mauer	1471	Lincoln St	Charlottesville	VA	22901	13	2	1976	(540) 778-9493	Network and Computer Systems Administrator	$55,029.00 	199
89-84-9715	Samantha	Champagne	466	Maple Street	Great Neck	NY	11023	2	12	1919	(516) 352-9642	Cleaner of Vehicles and Equipment	$18,485.00 	200
174-76-9647	Maria	Lingenfelter	569	Cherry Ave	Ruffs Dale	PA	15679	14	10	1948	(724) 639-9481	Tire Repairer and Changer	$21,254.00 	201
555-46-3135	Gwenn	Willson	2783	Chestnut St.	San Francisco	CA	94121	20	3	1943	(415) 200-8270	Computer-Controlled Machine Tool Operator, Metal and Plastic	$31,793.00 	202
306-22-6160	Alice	KBaffuto	1939	Third Dr.	Evansville	IN	47720	11	9	1999	(812) 429-1965	WSales Representative, Wholesale and Manufacturing, Except Technical and Scientific ProductRH	$50,396.00 	203
088-22-3117	Henry	Lapierre	1359	Sunset Ave.	West Islip	NY	11795	6	10	1948	(516) 804-5539	Laundry and Dry-Cleaning Worker	$17,238.00 	204
679-26-3405	Salinas	Jane	1860	Miller Avenue	Las Vegas	NV	89101	14	1	1943	(702) 340-9142	Food Preparation and Serving Related Occupation	$16,417.00 	205
544-01-6664	Connie	Gonzalez	391	Center Blvd., Apt. 36	Newport	OR	97365	21	3	1932	(541) 272-5745	Social and Human Service Assistant	$26,036.00 	206
463-29-7853	Frank	Scudder	2868	Sunset St	Riverside	CA	92507	10	2	1951	(903) 423-6870	Construction Laborer	$27,720.00 	207
380-48-5219	ADebra	Gentry	2775	Lee Street	Saginaw	MI	48602	12	8	1953	(517) 223-5111	Occupational Therapist	$50,638.00 	208
263-38-3475	Melissa	Blanchard	433	Second Dr.	Okeechobee	FL	34974	28	1	1981	(863) 623-2233	Executive Secretary and Administrative Assistant	$33,791.00 	209
644-36-2554	Timothy	Edmonds	1547	Church Blvd.	Houston	TX	77092	2	12	1904	(281) 204-7354	Dining Room and Cafeteria Attendants and Bartender Helper	$15,475.00 	210
432-88-7597	Laurel	Kirk	2194	Elm Street	Freeland	MI	48623	22	1	1990	(870) 691-0476	Truck Driver, Heavy and Tractor-Trailer	$33,967.00 	211
392-78-4336	YThomas	Aurora	974	First St	Plover	WI	54467	8	11	1905	(715) 885-8001	Nonfarm Animal Caretaker	$19,075.00 	212
418-05-3334	Beverly	QTorres	569	Central St.	Lanett	AL	36863	8	7	1928	(334) 401-9980	First-Line Supervisor/Manager of Food Preparation and Serving Worker	$25,353.00 	213
111-54-7235	Christopher	Price	2725	Highland Blvd.	Brooklyn	NY	11238	30	8	1907	(347) 254-9240	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$53,414.00 	214
079-03-3864	Rosa	Draughn	1255	View St	Coahoma	MS	38617	2	9	1968	(315) 429-2818	Cashier	$16,650.00 	215
567-32-6727	Suzanne	Maddox	400	Fourth Dr.	Aptos	CA	95003	1	30	1914	(831) 662-2742	Office Clerk, General	$22,712.00 	216
538-13-8846	Robert	Heistand	947	Chestnut Dr	Union Gap	WA	98903	23	2	1998	(509) 961-4380	Food Preparation and Serving Related Occupation	$17,322.00 	217
271-32-1251	Vincent	Pitts	1892	OIDavis Dr.	Sonora	OH	43701	11	9	1939	(740) 786-2569	Food Preparation and Serving Related Occupation	$16,735.00 	218
260-97-7007	Robert	Powers	2104	Oak Blvd.	Roswell	GA	30075	24	6	1992	(678) 986-0579	Bookkeeping, Accounting, and Auditing Clerk	$28,770.00 	219
610-18-6380	Manuel	VBrannon	1390	Lee St	San Francisco	CA	94127	27	4	1922	(415) 505-4987	Receptionist and Information Clerk	$21,011.00 	220
407-33-4940	Kerry	Escalante	436	Eighth Street	Nampa	ID	83687	19	2	1931	(859) 472-6800	Counter Attendant, Cafeteria, Food Concession, and Coffee Shop	$16,197.00 	221
303-38-2302	Kristen	ZThomas	2910	TRSeventh St.	Haysville	IN	47546	7	3	1982	(812) 504-6083	Special Education Teacher, Secondary School	$46,983.00 	222
232-82-5624	Kathleen	Thorns	1746	North Ave.	Albertville	AL	35950	19	7	1984	(304) 728-7323	Food Preparation Worker	$17,738.00 	223
414-28-8630	Beverly	Rowe	336	Valley Blvd.	Bristol	TN	37620	30	5	1941	(423) 914-6935	Truck Driver, Heavy and Tractor-Trailer	$33,933.00 	224
273-82-8308	Shaquita	Smith	1509	HAFifth Dr.	Staten Island	NY	10314	13	9	1979	(614) 422-5736	Automotive Body and Related Repairer	$35,673.00 	225
340-07-9068	Ruth	Hill	2798	Oak Avenue	Breese	IL	62230	17	8	1914	(618) 526-6895	Home Health Aide	$18,441.00 	226
052-46-2452	America	Bowman	269	Jackson Ave	Brooklyn	NY	11233	30	6	1975	(347) 525-5181	Counter Attendant, Cafeteria, Food Concession, and Coffee Shop	$16,836.00 	227
479-18-7997	Sandra	Archambeault	2624	South Ave	Waterloo	IA	50703	28	5	1947	(319) 415-0896	Medical and Health Services Manager	$68,911.00 	228
541-06-0891	QDavid	PLinton	1162	Second St., Apt. 17	Winchester Bay	OR	97467	9	3	1914	(541) 439-6776	Laborer and Freight, Stock, and Material Movers, Hand	$22,465.00 	229
430-75-3973	Pryor	Jimmie	865	View Dr	Bethlehem	KY	40007	9	4	1974	(870) 816-0836	Executive Secretary and Administrative Assistant	$34,659.00 	230
687-01-8859	Diane	JHale	2914	Second Dr	Greensboro	NC	27406	4	10	1919	(336) 908-1777	Receptionist and Information Clerk	$22,037.00 	231
057-10-3456	Robert	Oshields	2269	Forest Avenue	Brooklyn	NY	11231	17	4	1928	(347) 865-2718	Office Clerk, General	$22,713.00 	232
046-66-2195	Guillermo	Peters	824	Fifth Ave	Manchester	CT	6040	22	7	1985	(860) 783-0117	Secondary School Teacher, Except Special and Vocational Education	$43,890.00 	233
590-34-5658	Danny	Mclain	1330	Central Dr.	Tampa	FL	33605	4	25	1927	(813) 554-7002	Laborer and Freight, Stock, and Material Movers, Hand	$20,822.00 	234
361-54-1823	Casey	Norwood	2793	Church Dr.	Chicago	IL	60641	26	9	1919	(312) 735-8421	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,621.00 	235
502-90-0606	Gail	Baldwin	250	Eighth Street	Minot	ND	58701	9	8	1992	(701) 852-4281	KSecretary, Except Legal, Medical, and ExecutiveAO	$27,269.00 	236
633-42-7751	Johnson	Susan	385	Lincoln Street	Wylie	TX	75098	29	1	1929	(903) 567-8707	Food Preparation and Serving Related Occupation	$17,536.00 	237
617-06-2025	Kimberly	GRipley	1106	Hickory Dr	Russian River	CA	94401	3	9	1933	(650) 863-5896	Grinding, Lapping, Polishing, and Buffing Machine Tool Setter, Operator, and Tenders, Metal and Plastic	$28,447.00 	238
478-18-6857	Virginia	Craig	299	Seventh Drive, Apt. 34	Charles City	IA	50616	20	8	1996	(641) 330-4553	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$52,240.00 	239
587-25-9780	Charles	Carey	933	Church Dr.	Greenville	MS	38701	15	10	1981	(662) 433-9752	Food Preparation and Serving Related Occupation	$16,341.00 	240
233-72-5623	Tammy	Webb	1002	Fifteenth Ave.	Star City	WV	26505	28	3	2001	(304) 432-0601	Telemarketer	$22,309.00 	241
503-18-8316	Nisbet	Frederick	999	Hill St.	Hot Springs	SD	57747	25	2	1910	(605) 890-2807	UAutomotive Service Technician and MechanicSN	$31,800.00 	242
609-31-3534	Jose	MBragg	2418	Broadway Dr., Apt. 36	Santa Ana	CA	92706	12	7	1974	(626) 297-8800	Telecommunications Equipment Installer and Repairer, Except Line Installer	$46,156.00 	243
348-22-6184	Lynne	Mumma	414	Cherry Ave.	Chicago	IL	60641	13	10	1995	(312) 770-2430	Medical Assistant	$25,052.00 	244
594-09-2476	Alice	Payne	1112	Walnut Street	Orlando	FL	32818	19	11	1943	(321) 946-8304	Billing and Posting Clerks and Machine Operator	$28,455.00 	245
671-12-5483	Wayne	Chin	513	Park Ave.	Bainbridge	GA	31717	14	4	1922	(229) 208-7405	Elementary School Teacher, Except Special Education	$45,903.00 	246
621-70-1735	Richard	Goodall	1091	Elm Ave.	Los Angeles	CA	90044	22	3	1931	(213) 833-4064	Construction Laborer	$29,357.00 	247
564-40-3052	Hassick	Diana	2464	Elm Ave	Lincoln	CA	95648	4	2	1926	(916) 209-0328	Biological Science Teacher, Postsecondary	$67,478.00 	248
769-22-4505	Carol	Casarez	2297	TFCedar Drive	Glendale	AZ	85304	10	9	1919	(520) 827-7171	Cashier	$15,878.00 	249
305-19-7048	Breanne	Fountain	332	Elm Drive, Apt. 32	Indianapolis	IN	46222	9	1	1984	(317) 510-0399	Registered Nurse	$50,228.00 	250
094-52-4591	Mary	Grady	1536	ZNOak Drive, Apt. 37	College Point	NY	11356	19	1	1955	(347) 732-5140	Team Assembler	$24,973.00 	251
568-29-4442	Jan	Henson	1313	Park Ave	Beverly Hills	CA	90211	5	15	1935	(213) 909-9172	Training and Development Specialist	$45,815.00 	252
443-03-2439	Leonard	Shirley	353	Lincoln Street	Bremerton	WA	98310	1	1	1984	(918) 536-7949	HOffice Machine Operators, Except ComputerEM	$22,424.00 	253
262-10-7946	John	Johnson	565	Seventh Street	Saint Petersburg	FL	33702	24	3	1967	(813) 600-1012	Preschool Teacher, Except Special Education	$20,834.00 	254
424-90-7736	James	Choinski	1575	Washington Ave.	Park Row	TX	77493	5	4	1984	(205) 706-0570	Food Preparation Worker	$17,396.00 	255
285-90-2225	Oles	Patrick	1186	Second Dr., Apt. 20	Dayton	OH	45427	24	3	1983	(937) 224-3902	Shipping, Receiving, and Traffic Clerk	$24,803.00 	256
676-05-4085	Florine	Wilham	1960	NGHickory Avenue	London	AR	72847	27	2	1986	(479) 489-7686	General and Operations Manager	$84,597.00 	257
226-43-4460	Thomas	VDavis	706	North St.	New Canton	VA	23123	2	3	1965	(804) 594-6447	Landscaping and Groundskeeping Worker	$20,513.00 	258
503-62-8306	Jessica	Becker	2122	Laurel Ave	Astoria	NY	11106	20	2	1997	(605) 432-1334	Interviewer, Except Eligibility and Loan	$22,984.00 	259
245-37-6347	Clark	Jessica	1310	Third Dr., Apt. 36	Bakersville	NC	28705	17	3	1936	(828) 688-8796	Cashier	$16,562.00 	260
390-92-7166	BEarl	Chesley	2607	Ridge Ave.	Eau Claire	WI	54703	4	7	1917	(715) 529-7657	Food Preparation and Serving Related Occupation	$17,554.00 	261
369-76-0062	Linda	Mischke	2168	Eighth St	Muskegon	MI	49442	29	11	1917	(616) 677-1632	Landscaping and Groundskeeping Worker	$21,339.00 	262
343-70-4952	Joseph	Ray	115	Cedar Ave.	Rockford	IL	61103	8	11	1993	(815) 874-3552	Word Processor and Typist	$28,724.00 	263
771-09-1665	Debbie	Watson	2687	Ninth Ave.	Largo	FL	34647	7	20	1941	(727) 838-9833	Truck Driver, Light Or Delivery Service	$25,136.00 	264
423-52-3422	Carl	Heinrich	198	Fourth Ave	Aliceville	AL	35442	8	12	1941	(205) 236-5507	Police and Sheriff's Patrol Officer	$43,635.00 	265
546-65-7149	Derek	Laliberte	2914	Washington Drive, Apt. 18	Los Angeles	CA	90029	9	6	1909	(213) 389-2182	CEmergency Medical Technician and ParamedicXH	$25,472.00 	266
535-30-9560	Moon	Langlands	2053	DVFourteenth Street	El Paso	TX	79934	17	9	1990	(360) 386-6184	First-Line Supervisor/Manager of Office and Administrative Support Worker	$43,096.00 	267
512-94-6391	Trula	OHambly	2516	VXCedar St.	Lawrence	KS	66044	30	3	1943	(785) 550-9514	Dishwasher	$14,689.00 	268
460-40-4578	Rusty	Albee	1533	Fifth Ave	Floresville	TX	78114	1	12	1983	(830) 215-3832	Food Preparation and Serving Related Occupation	$18,012.00 	269
559-81-1941	Karen	Mckee	2176	Lee Drive	Oakland	CA	94601	19	1	1988	(510) 501-3538	Carpenter	$35,346.00 	270
520-17-0786	Catherine	Faber	2598	Tenth Ave	Casper	WY	82601	18	6	1983	(307) 208-0618	Office Clerk, General	$23,400.00 	271
337-50-2182	Joe	Picardo	678	Fourth Dr, Apt. 28	Morton	IL	61550	11	3	1990	(309) 321-7859	File Clerk	$21,872.00 	272
095-44-6934	Johnna	OJohnson	480	River Ave	Salem	AL	36874	26	10	1964	(914) 763-9840	Retail Salesperson	$20,820.00 	273
218-69-3563	Lilly	Failla	449	Ninth Ave	Owings	MD	20736	9	25	1940	(240) 387-3409	Driver/Sales Worker	$23,243.00 	274
561-04-8219	Gary	Ardoin	915	Elm Dr.	Fresno	CA	93722	29	9	1918	(209) 908-1905	Teacher Assistant	$20,478.00 	275
436-33-1517	Leslie	Hankins	1592	West Blvd.	Natchitoches	LA	71457	15	5	1969	(318) 506-5646	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$51,428.00 	276
483-27-8076	Larrabee	Steven	1254	Park Drive	Burlington	IA	52601	11	9	1919	(319) 209-5511	Landscaping and Groundskeeping Worker	$20,735.00 	277
091-44-7088	Rosendo	Gray	1750	Lakeview Blvd.	Mesa	AZ	85201	10	30	1917	(845) 525-6439	Cashier	$17,278.00 	278
616-70-6454	Clara	Budnick	2137	Center Street	San Francisco	CA	94121	10	11	1952	(415) 352-8952	WHelper--Production WorkerLE	$19,956.00 	279
308-27-8903	Jose	Cardenas	802	Second Dr	Wabash	IN	46992	6	11	1973	(260) 560-6130	PJanitor and Cleaner, Except Maids and Housekeeping CleanerJU	$20,562.00 	280
038-36-6594	Dorothy	Brewington	220	Fourteenth Dr	Jackson	NJ	8527	13	7	1908	(401) 736-0338	Automotive Body and Related Repairer	$34,062.00 	281
545-61-1754	Edie	QEdward	532	Jefferson St.	Fairfield	CA	94533	4	21	1957	(707) 673-6252	Receptionist and Information Clerk	$22,151.00 	282
690-01-2285	William	Jones	2836	Sunset Drive	Coleridge	NC	27316	19	6	1972	(336) 879-5376	Laborer and Freight, Stock, and Material Movers, Hand	$21,920.00 	283
573-12-3111	Carole	Sherwood	1760	Green Dr.	San Jose	CA	95129	16	11	1933	(408) 974-4624	Inspector, Tester, Sorter, Sampler, and Weigher	$28,709.00 	284
450-42-6464	Erica	Miles	2510	Spruce St	El Paso	TX	79905	3	3	1953	(325) 555-7745	Computer Programmer	$66,825.00 	285
207-30-2649	Shirley	Foss	1301	Williams Ave.	King Of Prussia	PA	19406	25	6	1964	(484) 206-2413	Food Preparation and Serving Related Occupation	$16,392.00 	286
400-25-5610	Phillips	Theresa	1617	ERPoplar Dr	Cornishville	KY	40330	21	7	1910	(502) 863-0542	Financial Manager	$82,409.00 	287
561-66-8221	Wilmer	Rottenberg	835	North Blvd.	Frazier Park	CA	93225	1	5	1972	(661) 455-2823	Secondary School Teacher, Except Special and Vocational Education	$44,394.00 	288
387-18-8503	John	Smith	2088	Maple Ave, Apt. 8	Viroqua	WI	54665	30	1	1981	(608) 606-6215	Executive Secretary and Administrative Assistant	$36,013.00 	289
037-24-2096	Brandon	Mozier	1546	River Drive	West Orange	TX	77630	23	6	1983	(401) 781-9009	Counter Attendant, Cafeteria, Food Concession, and Coffee Shop	$16,421.00 	290
329-74-8349	Mary	Doe	1937	Tenth Dr.	Galesburg	IL	61401	22	9	1994	(309) 341-7368	Cashier	$17,203.00 	291
307-94-2487	Kizzie	Gibson	245	Fourth St.	Fort Wayne	IN	46825	4	10	1948	(219) 740-9588	Insurance Claims and Policy Processing Clerk	$30,111.00 	292
265-61-7056	James	Bumstead	2602	River Street	Pensacola	FL	32504	7	1	1953	(850) 548-2196	Home Health Aide	$19,752.00 	293
016-12-1700	Monica	Stephens	2222	Maple St	Natick	MA	1760	30	10	1946	(508) 314-9474	RTelemarketerIS	$21,740.00 	294
275-28-1889	Julie	Jarrell	1593	Fourth Drive	Cincinnati	OH	45223	6	2	1992	(419) 927-1983	Shipping, Receiving, and Traffic Clerk	$25,201.00 	295
660-07-2367	Harper	James	1255	Washington St.	Claypool	IN	46510	17	1	1977	(225) 572-8353	Pipelayer	$30,425.00 	296
630-01-7792	Ruth	Hocker	852	First Street	Haltom City	TX	76117	29	10	1936	(682) 503-9396	Correctional Officers and Jailer	$35,012.00 	297
388-01-4885	Tara	Glover	1808	Fourth Drive	Janesville	WI	53546	24	5	1960	(608) 718-5511	Team Assembler	$25,656.00 	298
400-11-5610	Rudy	JVankirk	1623	XAOak Blvd.	Elna	KY	41219	4	9	1929	(606) 288-1022	Teacher Assistant	$20,651.00 	299
579-09-3357	Kim	Fuller	1456	Williams Drive	Fairview	TN	37062	8	25	1921	(202) 223-3285	Registered Nurse	$50,056.00 	300
410-67-1712	Donnie	BWallin	2330	View Dr.	Memphis	TN	38104	12	4	1904	(901) 292-0549	Home Health Aide	$19,950.00 	301
286-12-2697	James	Kearney	1331	Smith Dr	Clarksburg	MD	20871	19	6	1906	(440) 839-0302	Food Preparation and Serving Related Occupation	$17,050.00 	302
585-17-6995	Sara	Slye	1283	Spring Street	Albuquerque	NM	87102	15	6	1993	(505) 286-2662	Food Preparation and Serving Related Occupation	$17,662.00 	303
464-29-1933	Steven	ZPollmann	1207	Sixth Avenue	Houston	TX	77012	4	4	1947	(281) 810-6038	AHighway Maintenance WorkerBN	$28,476.00 	304
601-12-5892	Luke	Griggs	497	Sunset Ave.	Nogales	AZ	85621	20	3	1965	(520) 375-6113	CTextile Bleaching and Dyeing Machine Operator and TenderTA	$21,674.00 	305
307-01-2490	Jodie	Morales	1822	Spring St	Bedford	IN	47421	15	10	1988	(812) 278-2069	Gaming Supervisor	$38,843.00 	306
427-62-7858	Dennis	Rodriguez	2114	YTCenter St	Sessums	MS	39759	11	9	1909	(662) 495-0830	Computer Software Engineer, Systems Software	$79,184.00 	307
622-22-4715	Cecelia	Parman	1103	Park Avenue, Apt. 19	Oakhurst	CA	93644	11	11	1943	(559) 683-0378	Inspector, Tester, Sorter, Sampler, and Weigher	$28,769.00 	308
461-47-0112	Irish	Croskey	2691	Maple Dr	Alice	TX	78332	18	6	1977	(361) 603-3865	Food Preparation and Serving Related Occupation	$16,645.00 	309
588-03-6989	LJoseph	Kondracki	803	Tenth St.	Washington	PA	15301	8	10	1920	(505) 646-0175	Packaging and Filling Machine Operators and Tender	$23,001.00 	310
620-20-2954	Nelson	Kelly	2786	Chestnut St.	Easton	CA	93706	17	5	1916	(209) 363-5348	Bookkeeping, Accounting, and Auditing Clerk	$27,365.00 	311
643-66-7044	Wendy	Nash	2405	Williams St	San Angelo	TX	76905	29	7	1985	(325) 450-5145	Legal Secretarie	$37,813.00 	312
095-68-6934	Richard	Allen	794	Hickory Ave	Bronx	NY	10461	7	11	1974	(347) 615-6170	Plumber, Pipefitter, and Steamfitter	$43,794.00 	313
491-38-0641	Connie	Diaz	2752	Laurel Avenue	Raymore	MO	64083	1	2	1968	(816) 470-4029	Receptionist and Information Clerk	$22,908.00 	314
687-03-8775	Wesley	Fizer	233	South Ave.	Wendell	NC	27591	5	1	1964	(919) 366-4096	Shipping, Receiving, and Traffic Clerk	$24,235.00 	315
453-02-8819	Sarah	Tatters	531	Fifth Ave.	Grapevine	TX	76051	4	3	1954	(682) 651-1876	GSelf-Enrichment Education TeacherPH	$33,047.00 	316
233-68-5626	Joanne	Fant	1926	Lake St.	West Hamlin	WV	25571	26	5	1914	(304) 706-1500	Team Assembler	$24,728.00 	317
512-96-6363	Marta	Messana	1831	DNCherry Ave.	Jacksonville	FL	32244	22	9	1968	(785) 922-8834	RGeneral and Operations ManagerWT	$80,210.00 	318
444-60-0699	Loreen	Landry	1809	Second St.	Okmulgee	OK	74447	15	1	1930	(918) 304-3989	Billing and Posting Clerks and Machine Operator	$26,074.00 	319
543-66-8825	Jones	Callie	2996	Jackson Ave.	Virginia Beach	VA	23462	1	21	1984	(360) 424-8300	Food Preparation and Serving Related Occupation	$17,840.00 	320
648-52-8842	VGerald	Jones	1117	QSFifth Drive	West Salem	WI	54669	7	2	1982	(435) 207-4406	VFood Preparation WorkerFV	$17,880.00 	321
626-18-4966	Benjamin	John	843	Cherry Avenue	Visalia	CA	93277	5	9	1969	(760) 299-3260	Retail Salesperson	$22,564.00 	322
256-43-1915	XJohn	VThomas	1912	Eleventh Dr	Maple Park	IL	60151	9	2	1985	(912) 363-6465	Office Clerk, General	$23,961.00 	323
649-56-8093	David	Satterfield	2533	Fourth St	Jersey Village	TX	77040	4	2	1945	(281) 885-5424	Psychiatric Technician	$28,234.00 	324
298-54-9019	Hernandez	Willie	1505	Sycamore St.	Los Angeles	CA	90048	10	11	1969	(419) 990-0888	Transportation Inspector	$49,222.00 	325
621-50-1723	John	Corbin	1328	Green Ave.	Van Nuys	CA	91401	24	2	1916	(805) 371-4957	Nursing Aide, Orderly, and Attendant	$20,508.00 	326
222-62-6397	Jimmie	Enger	103	Main Dr	Marshallton	DE	19808	2	22	1905	(302) 477-2693	Cashier	$16,570.00 	327
406-52-4513	Patrica	Colella	2889	Washington Drive	Tice	FL	33905	24	8	1992	(502) 317-2961	Food Preparation Worker	$17,447.00 	328
274-98-2730	Glenn	Johnson	2087	Spring Ave.	Youngstown	OH	44507	26	1	1967	(330) 534-3927	Food Preparation and Serving Related Occupation	$16,345.00 	329
535-25-9568	Bailey	Murphy	2071	Spring Drive	Kent	WA	98031	10	4	1940	(253) 308-7751	Telemarketer	$22,351.00 	330
112-62-7563	Erik	DWaid	1868	Second Ave.	Mastic	NY	11950	18	8	1930	(631) 772-2271	Office Clerk, General	$22,616.00 	331
174-05-9664	Procopio	Ashley	2862	Thirteenth Street	Harrisville	PA	16038	4	9	1906	(724) 735-1037	Stock Clerk and Order Filler	$21,583.00 	332
346-22-4940	Luise	Gardino	2688	Sunset St	West Chicago	IL	60185	1	4	1945	(217) 564-9194	CRefuse and Recyclable Material CollectorTT	$25,402.00 	333
178-58-4381	Samuel	ZTruluck	1455	Cedar Avenue	Philadelphia	PA	19140	9	6	1990	(215) 629-6062	QPostal Service Mail CarrierQY	$40,475.00 	334
462-66-1099	Maria	Carriere	2201	North Dr.	Corpus Christi	TX	78411	27	2	1939	(361) 806-3754	Truck Driver, Heavy and Tractor-Trailer	$34,863.00 	335
477-46-0839	Mills	Bertha	2527	BKEast Ave	Hamilton	NJ	8609	7	7	1970	(507) 485-9427	Reservation and Transportation Ticket Agent and Travel Clerk	$29,080.00 	336
686-01-4603	OAlicia	Poole	1828	Eighth Avenue	Gastonia	NC	28052	14	7	1998	(828) 455-2299	Construction and Building Inspector	$43,845.00 	337
390-24-7202	David	Reath	2658	Sixth Dr.	Cassville	WI	53806	5	7	1905	(608) 725-2634	Security Guard	$20,477.00 	338
423-09-3418	ZCynthia	Weiland	1356	Eighth Ave.	Mobile	AL	36605	29	7	1982	(251) 662-4701	First-Line Supervisor/Manager of Food Preparation and Serving Worker	$26,329.00 	339
505-15-3391	John	Lakes	297	Park St	Fort Calhoun	NE	68023	16	4	1945	(402) 468-9616	Janitor and Cleaner, Except Maids and Housekeeping Cleaner	$20,186.00 	340
402-32-5277	Helen	Bean	2190	Forest Ave.	Anchorage	KY	40223	19	5	1991	(502) 346-7114	Personal and Home Care Aide	$17,559.00 	341
679-03-5238	Mariam	Curran	602	View Street	Reinholds	PA	17569	25	7	1974	(479) 788-2260	Fire Fighter	$38,426.00 	342
461-94-0091	Hope	Taylor	518	Seventh Drive	West Orange	TX	77630	28	12	1932	(409) 626-7964	Dental Assistant	$27,040.00 	343
372-52-5725	Daryl	Neas	211	Spring Ave., Apt. 7	New Orleans	LA	70118	28	7	1928	(734) 316-4477	Sound Engineering Technician	$45,578.00 	344
